x	y	z	score	incomprehensibleMarkings	offensiveMarkings
sex	Russian roulette	when shit goes really wrong you die	[1,2,3,4,4,4,5]	0	0
semen	chips	in my stomach	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4]	0	0
sex	slaughter houses	frightening	[1,1,1,2,2,2,2,2,2,3,3,3,4]	0	1
women	whiskey	12 years old and dashed on the rocks	[1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,5,5,5]	0	0
men	whiskey	aged and mellow	[1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5]	0	0
quiches	women	I'm not quichekeurig	[1,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5]	0	1
women	coffee	with a tongue-twistingly pretentious name	[1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5]	0	0
men	dentists	caring	[1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3]	0	0
women	psychologists	only talk when laying down	[1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4]	0	0
coffee	men	fine if somebody is paying, but I really prefer tea	[1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5]	0	0
hair salonz	covfefe	misspelled	[1,1,1,1,1,2,2,2,2,2,2,3,3,3,4]	0	0
lovers	soldiers	well-trained and slow to shoot	[1,4,4,4]	0	0
bass	sofa	low	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4]	0	0
boyfriends	war movies	the one you like best dies in the end	[1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5]	0	0
showers	sun	hot, melts my body, kills me	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,5,5]	0	0
women	coffee	covered in bees	[1,1,2,2,2,3,3,4,4]	1	0
hardware	people	chunky, experimental and lying by my side in my messy bed as I drift off to sleep	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5]	0	0
eyebrows	caterpillars	small, scrunched up and ready to crawl off my face at any moment	[1,1,1,1,1,2,2,2,2,2,3,3,3,4]	0	0
men	sofa	having something big to sit on	[1,2,2,2,3,3,3,3,4,5]	1	0
coffee	men	Straight after Sunday mass	[2,3,4,4,4,4,5,5]	1	0
coffee	outlets	if I put my finger in one, it hurts	[2,2,2,2,2,3,3,4,4,4]	1	0
sex	police stations	surrounded by cameras	[1,3,3,3,3,4,4,4,4,5]	0	1
sex	grid papers	meticulous	[1,1,2,2,2,2,2,3,3,3,3,3]	1	0
tea	pipes	flavored	[1,1,1,1,2,2,2,2,2,3,3,3,4]	1	0
girlfriends	meteorologists	wet and excited	[1,1,1,2,3,3,3,4,4,4,4,4,4]	0	1
women	coffee beans	ground up and in the freezer	[1,1,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5]	0	0
massages	Disney movies	with happy endings	[1,1,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5]	0	0
women	tests	mental	[1,2,2,3,3,4,4,4,4,5]	1	0
jokejudger filters	tinder dates	riddled with insecurities	[2,2,2,3,3,3,3,4,4,5]	1	0
baseball	beer	free	[1,1,1,1,1,1,2,2,2,2,2,3,3,3]	0	0
women	art	pretty and silent	[1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,5]	0	0
sex	news shows	angry and 24 hours long	[1,1,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5]	0	0
men	first time driving	exciting yet hopefully I don't die	[1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5]	0	0
sex	water guns	fully loaded	[1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	0	0
beer	violence	domestic	[1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5]	0	0
civil liberties	women	abused and taken for granted	[1,1,2,2,2,3,3,3,3,3,4,4,4,5,5]	0	1
fingers	limitations	breaking them is just one step to breaking the latter	[1,1,1,1,2,3,3,3,4]	1	0
women	ceiling fan	always blowing	[2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
partners	tree houses	loved as children then forgotten	[1,2,2,3,4,4,4,4,4,4,4]	1	0
coffee	crowbars	Black and strong	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4]	0	0
coffee order	Grenfell Tower jokes	Too Soon	[1,4,4,4,4,5,5,5]	1	0
women	coffee	in a plastic cup	[1,1,1,1,2,2,2,2,2,2,3,4,4]	0	0
­	­	autism	[1,1,1,1,1,1,2,2,2,2,2,3]	0	1
tv-shows	babysitting	filled with sexual tension	[1,1,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5]	0	0
women	coffee	warm and comforting	[1,1,1,2,2,2,2,2,3,3,3,3,4,4]	0	0
mother	recently bought house	back on sale again	[1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5]	1	0
hands	interest	low when building a house	[1,1,2,2,2,2,3,3,3]	1	0
mother	farmers	working hard	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5]	0	0
friends	achievements	viable	[1,1,2,2,3,3,3,3,3,4]	1	0
dick	politics	going so far left that I can't get laid	[1,1,1,1,2,2,3,3,3,3,3,4,4,4,5,5,5]	0	0
coffee	women	black, bitter and preferably fair trade	[1,1,1,2,2,2,2,3,3,3,4,4,4,4]	0	0
Chinese people	bananas	YELLOW	[1,2,2,3,3]	0	0
sex	abortions	weekly	[1,1,1,2,2,2,2,2,3,3,3,3,4]	0	1
lovers	piano tuners	touching my strings in the right places	[2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
Doctors	wifi	Available & free	[2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5]	0	0
bananas	slopes	slippery	[1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4]	0	0
tea	liquor	straight and strong	[1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,5]	1	0
terrorist attacks	bee movie	According to all known laws of aviation...	[1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,5]	0	0
women	vodka	cold, cheap and smelly	[1,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
coffee	myself	dark, bitter and too hot for you	[1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5]	0	0
women	cheese	fat-free singles only	[1,2,2,2,2,3,4,4,4,4,4,5,5,5,5,5]	1	0
love	ravines	something deep you climb together	[1,2,2,2,3,3,3,3,3,5]	1	0
sex	tv	if I don't like what's on, I switch channels	[1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5]	0	0
relationships	reality tv shows	hugely entertaining but too embarrassing to talk about	[1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	0	0
women	tool kits	useful for screwing or hitting	[1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4]	0	0
men	picture frames	well hung	[1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
